Year,Tonnage,Tonnage_Million
2009,489556.08599999966,489.6
2010,498488.48099999933,498.5
2011,506995.5019999994,507.0
2012,489450.15899999975,489.5
2013,491755.0579999995,491.8
2014,491855.7909999992,491.9
2015,485729.46799999935,485.7
2016,472772.0719999992,472.8
2017,470682.7109999996,470.7
2018,472055.9439999994,472.1
2019,471739.3439999994,471.7
2020,428993.76399999944,429.0
2021,435385.73399999936,435.4
2022,449650.82799999963,449.7
2023,425858.5009999994,425.9
2024,421016.70889999974,421.0
2025,419539.2340894437,419.5
