Year,Mode,Tonnage,Tonnage_Million
2009,Lo-Lo,52010.78199999997,52.0
2009,Ro-Ro,94080.78699999992,94.1
2010,Lo-Lo,56673.64899999995,56.7
2010,Ro-Ro,96014.83999999995,96.0
2011,Lo-Lo,57702.90499999986,57.7
2011,Ro-Ro,97309.0529999999,97.3
2012,Lo-Lo,55053.17899999996,55.1
2012,Ro-Ro,94344.97599999994,94.3
2013,Lo-Lo,56902.82099999997,56.9
2013,Ro-Ro,95055.37499999997,95.1
2014,Lo-Lo,61255.78499999986,61.3
2014,Ro-Ro,99613.92399999994,99.6
2015,Lo-Lo,63211.57399999995,63.2
2015,Ro-Ro,103778.22099999996,103.8
2016,Lo-Lo,65331.07099999987,65.3
2016,Ro-Ro,106442.13899999994,106.4
2017,Lo-Lo,64030.78199999985,64.0
2017,Ro-Ro,107037.66499999992,107.0
2018,Lo-Lo,68455.71999999994,68.5
2018,Ro-Ro,107580.13499999985,107.6
2019,Lo-Lo,66765.25399999996,66.8
2019,Ro-Ro,104285.17499999992,104.3
2020,Lo-Lo,61355.00599999983,61.4
2020,Ro-Ro,99771.52999999984,99.8
2021,Lo-Lo,60655.13899999986,60.7
2021,Ro-Ro,97960.71599999984,98.0
2022,Lo-Lo,59089.64099999987,59.1
2022,Ro-Ro,101796.11399999986,101.8
2023,Lo-Lo,58546.57799999995,58.5
2023,Ro-Ro,98600.55699999987,98.6
2024,Lo-Lo,60691.153999999966,60.7
2024,Ro-Ro,99314.50099999995,99.3
2025,Lo-Lo,66882.55923434182,66.9
2025,Ro-Ro,97049.59072853449,97.0
