PortName,Mode,pre_2015_19,post_2021_24,pct_change
Aberdeen,Ro-Ro,364.7,370.0,1.4
Belfast,Ro-Ro,6883.7,8126.3,18.1
Bristol,Ro-Ro,1058.8,1072.9,1.3
Cairnryan,Ro-Ro,2739.0,3697.1,35.0
Dover,Ro-Ro,25509.1,18797.9,-26.3
Felixstowe,Ro-Ro,3509.7,3653.8,4.1
Fishguard,Ro-Ro,391.6,270.1,-31.0
Grimsby & Immingham,Ro-Ro,16425.3,16002.4,-2.6
Harwich,Ro-Ro,3899.1,3848.1,-1.3
Heysham,Ro-Ro,4554.1,5141.7,12.9
Holyhead,Ro-Ro,5022.6,4224.0,-15.9
Hull,Ro-Ro,2381.4,1419.1,-40.4
Larne,Ro-Ro,2739.3,3697.3,35.0
Liverpool,Ro-Ro,7704.7,7510.1,-2.5
Loch Ryan,Ro-Ro,2420.6,2713.3,12.1
London,Ro-Ro,7804.2,9420.0,20.7
Medway,Ro-Ro,519.2,424.7,-18.2
Milford Haven,Ro-Ro,897.6,713.2,-20.5
Newhaven,Ro-Ro,601.3,359.0,-40.3
Orkney,Ro-Ro,212.4,175.0,-17.6
Plymouth,Ro-Ro,66.8,17.0,-74.6
Poole,Ro-Ro,328.8,256.5,-22.0
Portsmouth,Ro-Ro,2613.8,1935.4,-26.0
Ramsgate,Ro-Ro,8.2,2.3,-71.8
Southampton,Ro-Ro,1794.5,1414.7,-21.2
Tees & Hartlepool,Ro-Ro,2025.5,1206.0,-40.5
Tyne,Ro-Ro,867.2,537.1,-38.1
Warrenpoint,Ro-Ro,2126.9,2407.7,13.2
