Period,Type,Tonnage,PeriodOrder
2009 Quarter 1,Actual,123081.5,20091
2009 Quarter 2,Actual,120020.7,20092
2009 Quarter 3,Actual,122239.4,20093
2009 Quarter 4,Actual,124214.5,20094
2010 Quarter 1,Actual,123168.3,20101
2010 Quarter 2,Actual,121094.6,20102
2010 Quarter 3,Actual,125408.6,20103
2010 Quarter 4,Actual,128816.9,20104
2011 Quarter 1,Actual,125489.8,20111
2011 Quarter 2,Actual,127976.9,20112
2011 Quarter 3,Actual,127027.8,20113
2011 Quarter 4,Actual,126501.1,20114
2012 Quarter 1,Actual,123345.5,20121
2012 Quarter 2,Actual,125267.2,20122
2012 Quarter 3,Actual,124594.0,20123
2012 Quarter 4,Actual,116243.5,20124
2013 Quarter 1,Actual,119365.8,20131
2013 Quarter 2,Actual,125470.3,20132
2013 Quarter 3,Actual,124244.7,20133
2013 Quarter 4,Actual,122674.2,20134
2014 Quarter 1,Actual,122080.5,20141
2014 Quarter 2,Actual,126202.4,20142
2014 Quarter 3,Actual,120322.2,20143
2014 Quarter 4,Actual,123250.7,20144
2015 Quarter 1,Actual,122797.0,20151
2015 Quarter 2,Actual,120172.6,20152
2015 Quarter 3,Actual,120776.7,20153
2015 Quarter 4,Actual,121983.1,20154
2016 Quarter 1,Actual,116757.4,20161
2016 Quarter 2,Actual,120543.9,20162
2016 Quarter 3,Actual,119656.0,20163
2016 Quarter 4,Actual,115814.8,20164
2017 Quarter 1,Actual,116453.5,20171
2017 Quarter 2,Actual,121085.8,20172
2017 Quarter 3,Actual,118097.2,20173
2017 Quarter 4,Actual,115046.2,20174
2018 Quarter 1,Actual,112690.6,20181
2018 Quarter 2,Actual,119154.5,20182
2018 Quarter 3,Actual,117773.7,20183
2018 Quarter 4,Actual,122437.2,20184
2019 Quarter 1,Actual,119958.2,20191
2019 Quarter 2,Actual,117500.1,20192
2019 Quarter 3,Actual,114258.5,20193
2019 Quarter 4,Actual,120022.6,20194
2020 Quarter 1,Actual,114102.2,20201
2020 Quarter 2,Actual,97896.5,20202
2020 Quarter 3,Actual,104336.0,20203
2020 Quarter 4,Actual,112659.0,20204
2021 Quarter 1,Actual,103373.5,20211
2021 Quarter 2,Actual,109444.1,20212
2021 Quarter 3,Actual,110150.5,20213
2021 Quarter 4,Actual,112417.7,20214
2022 Quarter 1,Actual,112291.7,20221
2022 Quarter 2,Actual,114548.8,20222
2022 Quarter 3,Actual,112071.1,20223
2022 Quarter 4,Actual,110739.2,20224
2023 Quarter 1,Actual,109000.3,20231
2023 Quarter 2,Actual,109438.4,20232
2023 Quarter 3,Actual,103461.0,20233
2023 Quarter 4,Actual,103958.7,20234
2024 Quarter 1,Actual,102476.3,20241
2024 Quarter 2,Actual,107658.0,20242
2024 Quarter 3,Actual,102987.6,20243
2024 Quarter 4,Actual,107894.9,20244
2025 Quarter 1,Actual,107546.9,20251
2025 Quarter 2,Actual,106162.7,20252
2025 Quarter 3,Actual,102935.4,20253
2025 Quarter 4,Actual,102894.3,20254
2026 Quarter 1,Forecast,103489.0,20261
2026 Quarter 2,Forecast,104861.6,20262
2026 Quarter 3,Forecast,103274.3,20263
2026 Quarter 4,Forecast,104533.4,20264
